index;Alloy name;Al;Co;Fe;Ni;Si;Cr;Mn;Nb;Mo;Ti;Cu;V;Zr;Ta;Hf;W;PROPERTY: Microstructure;PROPERTY: Processing method;PROPERTY: Calculated Density (g/cm$^3$);PROPERTY: Type of test;PROPERTY: YS (MPa);Smix;am;Tm;Xm;rm;dX;da;dT;dr
0;Al0.25 Co1 Fe1 Ni1;0.077;0.308;0.308;0.308;;;;;;;;;;;;;FCC;CAST;7.9;C;158;10.68315166;3.0492;1704.857;1.85493;1.49842;0.077060758;0.494399616;224.7578963;0.063804048
1;Al0.5 Co1 Fe1 Ni1;0.143;0.286;0.286;0.286;;;;;;;;;;;;;FCC BCC;CAST;7.4;C;346;11.23624416;3.12026;1649.791;1.83755;1.47576;0.097145702;0.540879797;293.7480173;0.083421473
2;Al0.75 Co1 Fe1 Ni1;0.2;0.267;0.267;0.267;;;;;;;;;;;;;FCC BCC;CAST;7;C;794;11.46458723;3.18163;1602.234;1.82254;1.45619;0.109423034;0.570955351;335.1210991;0.095959326
3;Al1 Co1 Fe1 Ni1;0.25;0.25;0.25;0.25;;;;;;;;;;;;;BCC;CAST;6.6;C;964;11.52010614;3.2325;1558.75;1.8075;1.4375;0.117553179;0.590651124;362.4385293;0.104853846
4;Co1 Fe1 Ni1;;0.333;0.333;0.333;;;;;;;;;;;;;FCC;CAST;8.5;C;204;9.128644494;2.96037;1765.566;1.87146;1.52181;0.033034919;0.418555818;33.50952616;0.018859445
5;Co1 Fe1 Ni1;;0.333;0.333;0.333;;;;;;;;;;;;;FCC;CAST;8.5;C;209;9.128644494;2.96037;1765.566;1.87146;1.52181;0.033034919;0.418555818;33.50952616;0.018859445
6;Co1 Fe1 Ni1 Si0.25;;0.308;0.308;0.308;0.077;;;;;;;;;;;;FCC;CAST;7.7;C;196;10.68315166;3.15623;1762.607;1.87726;1.49303;0.032560674;0.771039607;39.29773514;0.076087172
7;Co1 Fe1 Ni1 Si0.5;;0.286;0.286;0.286;0.143;;;;;;;;;;;;FCC ++;CAST;7.1;C;476;11.23624416;3.31903;1757.041;1.87902;1.46575;0.03201493;0.946702234;42.85496931;0.100381019
8;Co1 Fe1 Ni1 Si0.75;;0.267;0.267;0.267;0.2;;;;;;;;;;;;FCC ++;CAST;6.6;C;1301;11.46458723;3.45963;1752.234;1.88054;1.44219;0.03145694;1.055569042;45.15663002;0.116031745
9;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;WROUGHT;8.2;T;274;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
10;Co1 Cr1 Mn1 Ni1;;0.25;;0.25;;0.25;0.25;;;;;;;;;;FCC;WROUGHT;8.1;T;282;11.52010614;4.4625;1785.5;1.75;1.57;0.150499169;2.592830259;220.2742609;0.0434337
11;Co1 Cr1 Ni1;;0.333;;0.333;;0.333;;;;;;;;;;;FCC;WROUGHT;8.3;T;300;9.128644494;2.97702;1872.792;1.81485;1.55511;0.111414079;0.415094051;181.2792731;0.047627709
12;Co1 Fe1 Mn1 Ni1;;0.25;0.25;0.25;;;0.25;;;;;;;;;;FCC;WROUGHT;8.2;T;170;11.52010614;4.45;1705;1.7925;1.545;0.142894192;2.600394201;111.7899817;0.029126214
13;Co1 Fe1 Ni1;;0.333;0.333;0.333;;;;;;;;;;;;;FCC;WROUGHT;8.5;T;211;9.128644494;2.96037;1765.566;1.87146;1.52181;0.033034919;0.418555818;33.50952616;0.018859445
14;Co1 Mn1 Ni1;;0.333;;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.4;T;231;9.128644494;4.97502;1668.996;1.77822;1.53846;0.163023205;2.807952809;109.2629687;0.033142189
15;Fe1 Mn1 Ni1;;;0.333;0.333;;;0.333;;;;;;;;;;FCC;WROUGHT;8.1;T;221;9.128644494;5.09157;1682.316;1.76157;1.55178;0.154277368;2.708512165;122.0106595;0.031715808
16;Co1 Cr1 Fe1 Nb0.103 Ni1;;0.244;0.244;0.244;;0.244;;0.025;;;;;;;;;FCC ++;CAST;8.2;T;318;12.20701564;2.9617;1881.958;1.81632;1.56962;0.10153165;0.36314677;209.623396;0.058298934
17;Co1 Cr1 Fe1 Nb0.155 Ni1;;0.241;0.241;0.241;;0.241;;0.037;;;;;;;;;FCC ++;CAST;8.2;T;322;12.41277022;2.9659;1892.566;1.81368;1.57469;0.103640208;0.362863546;228.9817323;0.064554981
18;Co1 Cr1 Fe1 Nb0.206 Ni1;;0.238;0.238;0.238;;0.238;;0.049;;;;;;;;;FCC ++;CAST;8.2;T;403;12.58434954;2.9701;1903.174;1.81104;1.57976;0.105640827;0.362531494;246.3705847;0.070038742
19;Co1 Cr1 Fe1 Nb0.309 Ni1;;0.232;0.232;0.232;;0.232;;0.072;;;;;;;;;FCC ++;CAST;8.2;T;479;12.84113584;2.9752;1921.648;1.80416;1.58792;0.109136128;0.361562387;275.4625566;0.079031758
20;Co1 Cr1 Fe1 Nb0.412 Ni1;;0.227;0.227;0.227;;0.227;;0.093;;;;;;;;;FCC ++;CAST;8.2;T;638;13.02406909;2.9855;1942.07;1.80136;1.59835;0.112142981;0.360893835;298.4676381;0.085786658
21;Co1 Cr1 Fe1 Ni1;;0.25;0.25;0.25;;0.25;;;;;;;;;;;FCC;CAST;8.2;T;148;11.52010614;2.95;1858;1.82;1.5575;0.096695398;0.363386846;159.6934563;0.04120545
22;Al0.7 Co0.3 Cr1 Fe1 Ni1;0.175;0.075;0.25;0.25;;0.25;;;;;;;;;;;FCC BCC;POWDER;6.8;C;2033;12.78917673;3.21775;1711.875;1.77275;1.498;0.119184468;0.484146091;390.469409;0.106120528
23;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC;CAST;6.7;C;1251;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
24;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC;CAST;6.7;C;1138;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
25;Al1 Co1 Cr1 Fe1 Mo0.1 Ni1;0.196;0.196;0.196;0.196;;0.196;;;0.02;;;;;;;;BCC;CAST;6.8;C;1804;13.9216455;3.16744;1697.46;1.78604;1.49036;0.13195726;0.538364789;428.3361488;0.114260957
26;Al1 Co1 Cr1 Fe1 Mo0.2 Ni1;0.192;0.192;0.192;0.192;;0.192;;;0.038;;;;;;;;BCC ++;CAST;6.9;C;2456;14.19776744;3.1606;1716.128;1.78972;1.49492;0.140977042;0.532893287;453.5359754;0.118625303
27;Al1 Co1 Cr1 Fe1 Mo0.3 Ni1;0.189;0.189;0.189;0.189;;0.189;;;0.057;;;;;;;;BCC ++;CAST;7;C;2649;14.44000395;3.17274;1746.057;1.80447;1.50879;0.149789663;0.528727577;478.6113369;0.122323432
28;Al1 Co1 Cr1 Fe1 Mo0.4 Ni1;0.185;0.185;0.185;0.185;;0.185;;;0.074;;;;;;;;BCC ++;CAST;7;C;2670;14.571731;3.16276;1761.829;1.80597;1.51145;0.1565948;0.523086543;497.9881749;0.125729589
29;Al1 Co1 Cr1 Fe1 Mo0.5 Ni1;0.182;0.182;0.182;0.182;;0.182;;;0.091;;;;;;;;BCC ++;CAST;7.1;C;2757;14.69647378;3.16862;1785.966;1.81636;1.52152;0.163095414;0.518839713;516.6093528;0.128462803
30;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC;CAST;6.7;C;1051;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
31;Al1 Co1 Cr1 Fe1 Nb0.1 Ni1;0.196;0.196;0.196;0.196;;0.196;;0.02;;;;;;;;;BCC;CAST;6.8;C;1641;13.9216455;3.17064;1694.38;1.77444;1.49196;0.121927382;0.538667607;420.1829168;0.116930869
32;Al1 Co1 Cr1 Fe1 Nb0.25 Ni1;0.19;0.19;0.19;0.19;;0.19;;0.048;;;;;;;;;BCC ++;CAST;6.8;C;1959;14.32186328;3.168;1720.966;1.7659;1.50294;0.12356935;0.530834769;449.0687263;0.126474727
33;Al1 Co1 Cr1 Fe1 Nb0.5 Ni1;0.182;0.182;0.182;0.182;;0.182;;0.091;;;;;;;;;BCC ++;CAST;7;C;2473;14.69647378;3.18318;1771.952;1.76358;1.5288;0.125904718;0.520164707;487.5295823;0.137621528
34;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC;CAST;6.7;C;1373;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
35;Al1 Co1 Cr1 Fe1 Ni1;0.2;0.2;0.2;0.2;;0.2;;;;;;;;;;;BCC;CAST;6.7;C;1110;13.37442905;3.168;1673;1.778;1.482;0.120565335;0.543816145;396.6126574;0.10900308
36;Al1 Co1 Cr1 Fe1 Ni1 Si1;0.167;0.167;0.167;0.167;0.167;0.167;;;;;;;;;;;BCC ++;CAST;5.7;C;2411;14.90266362;3.55209;1678.016;1.80193;1.42284;0.119255518;0.979314157;362.4527461;0.142408482
